ATADS : Airport Operations : Standard Report,,,,,,,,,,
,,,,,,,,,,
"From 1/1/2019 To 2/28/2022 | Facility=SEA, PAE, MWH",,,,,,,,,,
2019-11-04,MWH,6,94,18,18,136,322,28,350,486
2019-11-04,PAE,49,2,123,1,175,291,0,291,466
2019-11-04,SEA,1210,15,4,0,1229,0,0,0,1229
2019-11-05,MWH,20,101,38,22,181,429,22,451,632
2019-11-05,PAE,43,4,128,5,180,199,10,209,389
2019-11-05,SEA,1186,15,4,0,1205,0,0,0,1205
2019-11-06,MWH,45,108,49,28,230,293,17,310,540
2019-11-06,PAE,39,7,158,2,206,361,0,361,567
2019-11-06,SEA,1201,13,12,0,1226,0,0,0,1226
2019-11-07,MWH,8,80,34,15,137,378,34,412,549
2019-11-07,PAE,47,2,190,3,242,225,6,231,473
2019-11-07,SEA,1242,14,1,0,1257,0,0,0,1257
2019-11-08,MWH,20,6,35,20,81,18,33,51,132
2019-11-08,PAE,50,9,243,3,305,259,0,259,564
2019-11-08,SEA,1229,16,1,0,1246,0,0,0,1246
2019-11-09,MWH,0,5,10,0,15,14,0,14,29
2019-11-09,PAE,39,1,49,0,89,0,0,0,89
2019-11-09,SEA,1086,9,1,0,1096,0,0,0,1096
2019-11-10,MWH,4,1,26,0,31,6,0,6,37
2019-11-10,PAE,50,0,28,0,78,0,0,0,78
2019-11-10,SEA,1168,7,2,0,1177,0,0,0,1177
2019-11-11,MWH,18,14,27,0,59,10,0,10,69
2019-11-11,PAE,48,2,181,0,231,210,0,210,441
2019-11-11,SEA,1228,13,2,0,1243,0,0,0,1243
2019-11-12,MWH,9,109,18,15,151,374,8,382,533
2019-11-12,PAE,40,6,61,0,107,0,0,0,107
2019-11-12,SEA,1226,13,2,0,1241,0,0,0,1241
2019-11-13,MWH,9,50,23,6,88,228,2,230,318
2019-11-13,PAE,44,4,73,12,133,14,0,14,147
2019-11-13,SEA,1195,14,5,0,1214,0,0,0,1214
2019-11-14,MWH,11,28,28,11,78,401,6,407,485
2019-11-14,PAE,44,1,184,7,236,167,0,167,403
2019-11-14,SEA,1240,22,1,1,1264,0,0,0,1264
2019-11-15,MWH,4,7,14,1,26,22,0,22,48
2019-11-15,PAE,46,4,64,8,122,74,0,74,196
2019-11-15,SEA,1242,15,2,1,1260,0,0,0,1260
2019-11-16,MWH,10,0,15,0,25,16,0,16,41
2019-11-16,PAE,44,2,135,0,181,202,0,202,383
2019-11-16,SEA,1077,5,2,1,1085,0,0,0,1085
2019-11-17,MWH,18,0,19,1,38,20,0,20,58
2019-11-17,PAE,41,0,37,0,78,15,0,15,93
2019-11-17,SEA,1161,4,2,0,1167,0,0,0,1167
2019-11-18,MWH,4,23,9,1,37,154,0,154,191
2019-11-18,PAE,43,2,37,0,82,55,0,55,137
2019-11-18,SEA,1221,18,8,0,1247,0,0,0,1247
2019-11-19,MWH,13,44,13,8,78,215,3,218,296
2019-11-19,PAE,45,4,50,2,101,105,0,105,206
2019-11-19,SEA,1209,11,3,0,1223,0,0,0,1223
2019-11-20,MWH,3,63,32,14,112,185,4,189,301
2019-11-20,PAE,44,6,275,0,325,312,0,312,637
2019-11-20,SEA,1214,20,4,0,1238,0,0,0,1238
2019-11-21,MWH,44,104,28,6,182,345,6,351,533
2019-11-21,PAE,51,7,247,1,306,280,0,280,586
2019-11-21,SEA,1254,11,7,0,1272,0,0,0,1272
2019-11-22,MWH,5,0,12,2,19,0,0,0,19
2019-11-22,PAE,48,3,101,10,162,16,0,16,178
2019-11-22,SEA,1220,17,0,0,1237,0,0,0,1237
2019-11-23,MWH,6,0,1,1,8,0,0,0,8
2019-11-23,PAE,55,1,147,0,203,141,0,141,344
2019-11-23,SEA,1126,6,0,0,1132,0,0,0,1132
2019-11-24,MWH,14,2,7,0,23,6,0,6,29
2019-11-24,PAE,45,1,167,0,213,197,0,197,410
2019-11-24,SEA,1147,6,3,0,1156,0,0,0,1156
2019-11-25,MWH,41,3,22,9,75,18,8,26,101
2019-11-25,PAE,44,2,51,0,97,81,0,81,178
2019-11-25,SEA,1170,21,4,0,1195,0,0,0,1195
2019-11-26,MWH,11,3,25,4,43,0,0,0,43
2019-11-26,PAE,44,10,133,4,191,236,0,236,427
2019-11-26,SEA,1191,11,2,0,1204,0,0,0,1204
2019-11-27,MWH,18,5,5,22,50,30,2,32,82
2019-11-27,PAE,49,4,137,0,190,160,0,160,350
2019-11-27,SEA,1261,7,4,0,1272,0,0,0,1272
2019-11-28,MWH,0,0,3,0,3,2,0,2,5
2019-11-28,PAE,33,0,95,0,128,82,0,82,210
2019-11-28,SEA,922,3,0,2,927,0,0,0,927
2019-11-29,MWH,4,2,19,7,32,27,12,39,71
2019-11-29,PAE,38,2,192,0,232,140,0,140,372
2019-11-29,SEA,1015,13,2,0,1030,0,0,0,1030
2019-11-30,MWH,6,0,12,0,18,5,0,5,23
2019-11-30,PAE,48,3,283,0,334,293,0,293,627
2019-11-30,SEA,1176,8,6,0,1190,0,0,0,1190
2019-12-01,MWH,2,1,2,0,5,0,0,0,5
2019-12-01,PAE,38,3,91,0,132,192,0,192,324
2019-12-01,SEA,1226,3,1,0,1230,0,0,0,1230
2019-12-02,MWH,2,3,4,0,9,0,0,0,9
2019-12-02,PAE,33,3,161,0,197,307,0,307,504
2019-12-02,SEA,1243,15,1,0,1259,0,0,0,1259
2019-12-03,MWH,2,4,8,0,14,0,0,0,14
2019-12-03,PAE,38,3,86,17,144,184,12,196,340
2019-12-03,SEA,1219,14,2,0,1235,0,0,0,1235
2019-12-04,MWH,6,2,10,6,24,0,0,0,24
2019-12-04,PAE,47,5,40,4,96,0,0,0,96
2019-12-04,SEA,1206,11,0,0,1217,0,0,0,1217
2019-12-05,MWH,11,53,23,8,95,227,0,227,322
2019-12-05,PAE,49,3,59,0,111,29,0,29,140
2019-12-05,SEA,1220,10,3,0,1233,0,0,0,1233
2019-12-06,MWH,20,4,27,6,57,10,0,10,67
2019-12-06,PAE,45,3,155,0,203,168,0,168,371
2019-12-06,SEA,1228,10,1,0,1239,0,0,0,1239
2019-12-07,MWH,2,0,3,0,5,0,0,0,5
2019-12-07,PAE,44,0,40,0,84,0,0,0,84
2019-12-07,SEA,1060,10,3,1,1074,0,0,0,1074
2019-12-08,MWH,0,2,30,1,33,38,0,38,71
2019-12-08,PAE,38,0,50,0,88,2,0,2,90
2019-12-08,SEA,1149,4,1,0,1154,0,0,0,1154
2019-12-09,MWH,4,2,16,2,24,0,0,0,24
2019-12-09,PAE,39,9,19,2,69,0,0,0,69
2019-12-09,SEA,1218,14,1,0,1233,0,0,0,1233
2019-12-10,MWH,3,2,8,2,15,0,0,0,15
2019-12-10,PAE,39,6,44,2,91,10,0,10,101
2019-12-10,SEA,1190,15,3,0,1208,0,0,0,1208
2019-12-11,MWH,10,2,4,0,16,0,0,0,16
2019-12-11,PAE,50,1,55,15,121,19,18,37,158
2019-12-11,SEA,1204,12,1,1,1218,0,0,0,1218
2019-12-12,MWH,4,0,4,0,8,0,0,0,8
2019-12-12,PAE,63,8,11,2,84,0,0,0,84
2019-12-12,SEA,1227,21,2,0,1250,0,0,0,1250
2019-12-13,MWH,19,14,32,5,70,74,9,83,153
2019-12-13,PAE,48,2,103,2,155,138,0,138,293
2019-12-13,SEA,1227,12,3,0,1242,0,0,0,1242
2019-12-14,MWH,4,0,11,0,15,0,0,0,15
2019-12-14,PAE,46,0,56,1,103,0,0,0,103
2019-12-14,SEA,1063,10,2,0,1075,0,0,0,1075
2019-12-15,MWH,2,1,4,0,7,0,0,0,7
2019-12-15,PAE,44,4,107,1,156,62,0,62,218
2019-12-15,SEA,1154,4,1,0,1159,0,0,0,1159
2019-12-16,MWH,13,7,10,2,32,0,0,0,32
2019-12-16,PAE,56,1,128,1,186,115,0,115,301
2019-12-16,SEA,1221,11,2,0,1234,0,0,0,1234
2019-12-17,MWH,17,7,4,7,35,0,4,4,39
2019-12-17,PAE,67,5,209,6,287,283,0,283,570
2019-12-17,SEA,1216,17,5,0,1238,0,0,0,1238
2019-12-18,MWH,5,4,32,17,58,12,20,32,90
2019-12-18,PAE,52,10,136,0,198,202,0,202,400
2019-12-18,SEA,1217,11,3,0,1231,0,0,0,1231
2019-12-19,MWH,5,2,0,1,8,0,0,0,8
2019-12-19,PAE,48,2,62,0,112,30,0,30,142
2019-12-19,SEA,1223,10,2,0,1235,0,0,0,1235
2019-12-20,MWH,14,4,1,0,19,0,0,0,19
2019-12-20,PAE,54,6,10,0,70,1,0,1,71
2019-12-20,SEA,1260,12,2,1,1275,0,0,0,1275
2019-12-21,MWH,20,2,29,0,51,30,0,30,81
2019-12-21,PAE,43,5,41,0,89,40,0,40,129
2019-12-21,SEA,1233,12,0,0,1245,0,0,0,1245
2019-12-22,MWH,10,1,20,0,31,4,0,4,35
2019-12-22,PAE,41,5,103,0,149,89,7,96,245
2019-12-22,SEA,1227,8,1,0,1236,0,0,0,1236
2019-12-23,MWH,10,5,19,5,39,10,2,12,51
2019-12-23,PAE,49,6,50,0,105,0,0,0,105
2019-12-23,SEA,1271,14,0,0,1285,0,0,0,1285
2019-12-24,MWH,0,2,5,0,7,0,0,0,7
2019-12-24,PAE,43,2,78,0,123,222,0,222,345
2019-12-24,SEA,1136,10,1,0,1147,0,0,0,1147
2019-12-25,MWH,0,0,9,0,9,4,0,4,13
2019-12-25,PAE,36,0,38,0,74,17,0,17,91
2019-12-25,SEA,1057,3,0,0,1060,0,0,0,1060
2019-12-26,MWH,4,2,19,0,25,14,0,14,39
2019-12-26,PAE,38,0,80,0,118,23,0,23,141
2019-12-26,SEA,1229,14,3,0,1246,0,0,0,1246
2019-12-27,MWH,0,3,6,1,10,0,0,0,10
2019-12-27,PAE,47,1,34,0,82,0,0,0,82
2019-12-27,SEA,1261,12,3,0,1276,0,0,0,1276
2019-12-28,MWH,0,1,17,0,18,48,0,48,66
2019-12-28,PAE,40,2,199,0,241,154,0,154,395
2019-12-28,SEA,1195,7,2,0,1204,0,0,0,1204
2019-12-29,MWH,0,0,4,0,4,0,0,0,4
2019-12-29,PAE,38,1,219,0,258,165,0,165,423
2019-12-29,SEA,1224,3,3,0,1230,0,0,0,1230
2019-12-30,MWH,6,5,16,20,47,44,15,59,106
2019-12-30,PAE,41,3,19,0,63,12,0,12,75
2019-12-30,SEA,1245,10,2,0,1257,0,0,0,1257
2019-12-31,MWH,0,3,16,0,19,6,0,6,25
2019-12-31,PAE,36,0,12,0,48,12,0,12,60
2019-12-31,SEA,1138,10,0,0,1148,0,0,0,1148
2020-01-01,MWH,0,0,19,0,19,15,0,15,34
2020-01-01,PAE,36,0,84,0,120,90,0,90,210
2020-01-01,SEA,1096,2,0,0,1098,0,0,0,1098
2020-01-02,MWH,0,4,11,0,15,4,0,4,19
2020-01-02,PAE,39,0,52,0,91,83,0,83,174
2020-01-02,SEA,1207,13,5,0,1225,0,0,0,1225
2020-01-03,MWH,10,8,22,22,62,10,72,82,144
2020-01-03,PAE,38,2,78,2,120,38,0,38,158
2020-01-03,SEA,1239,11,1,0,1251,0,0,0,1251
2020-01-04,MWH,0,0,12,1,13,8,0,8,21
2020-01-04,PAE,40,0,121,0,161,74,0,74,235
2020-01-04,SEA,1145,7,3,0,1155,0,0,0,1155
2020-01-05,MWH,0,0,20,0,20,20,0,20,40
2020-01-05,PAE,37,2,20,0,59,3,0,3,62
2020-01-05,SEA,1193,2,2,0,1197,0,0,0,1197
2020-01-06,MWH,4,55,22,24,105,124,44,168,273
2020-01-06,PAE,39,6,6,14,65,0,0,0,65
2020-01-06,SEA,1212,15,9,0,1236,0,0,0,1236
2020-01-07,MWH,6,78,11,29,124,232,10,242,366
2020-01-07,PAE,36,4,25,0,65,12,0,12,77
2020-01-07,SEA,1147,14,19,0,1180,0,0,0,1180
2020-01-08,MWH,0,16,11,18,45,8,37,45,90
2020-01-08,PAE,37,0,58,5,100,27,0,27,127
2020-01-08,SEA,1140,14,0,0,1154,0,0,0,1154
2020-01-09,MWH,3,83,45,28,159,426,13,439,598
2020-01-09,PAE,47,11,70,0,128,79,0,79,207
2020-01-09,SEA,1193,15,1,0,1209,0,0,0,1209
2020-01-10,MWH,4,2,5,0,11,0,0,0,11
2020-01-10,PAE,43,3,19,0,65,4,0,4,69
2020-01-10,SEA,1162,8,5,0,1175,0,0,0,1175
2020-01-11,MWH,2,3,15,0,20,0,0,0,20
2020-01-11,PAE,41,3,24,0,68,32,0,32,100
2020-01-11,SEA,972,10,3,0,985,0,0,0,985
2020-01-12,MWH,0,0,3,0,3,0,0,0,3
2020-01-12,PAE,27,0,12,0,39,4,0,4,43
2020-01-12,SEA,1077,1,1,0,1079,0,0,0,1079
2020-01-13,MWH,15,106,40,20,181,318,28,346,527
2020-01-13,PAE,40,4,7,0,51,0,0,0,51
2020-01-13,SEA,1096,10,0,0,1106,0,0,0,1106
2020-01-14,MWH,5,45,4,8,62,0,0,0,62
2020-01-14,PAE,26,6,12,0,44,0,0,0,44
2020-01-14,SEA,1063,10,1,1,1075,0,0,0,1075
2020-01-15,MWH,2,35,12,2,51,186,4,190,241
2020-01-15,PAE,36,2,39,0,77,0,0,0,77
2020-01-15,SEA,1112,9,6,0,1127,0,0,0,1127
2020-01-16,MWH,0,34,16,6,56,173,0,173,229
2020-01-16,PAE,43,5,90,2,140,6,0,6,146
2020-01-16,SEA,1193,9,2,0,1204,0,0,0,1204
2020-01-17,MWH,0,4,8,1,13,0,0,0,13
2020-01-17,PAE,41,6,118,0,165,38,0,38,203
2020-01-17,SEA,1186,12,5,0,1203,0,0,0,1203
2020-01-18,MWH,0,0,3,0,3,0,0,0,3
2020-01-18,PAE,37,0,88,0,125,103,0,103,228
2020-01-18,SEA,947,9,2,0,958,0,0,0,958
2020-01-19,MWH,14,0,17,0,31,0,0,0,31
2020-01-19,PAE,41,0,138,0,179,198,0,198,377
2020-01-19,SEA,1054,5,4,0,1063,0,0,0,1063
2020-01-20,MWH,8,9,34,0,51,36,0,36,87
2020-01-20,PAE,45,7,189,0,241,277,0,277,518
2020-01-20,SEA,1158,11,5,0,1174,0,0,0,1174
2020-01-21,MWH,10,19,26,1,56,0,0,0,56
2020-01-21,PAE,62,6,49,4,121,21,0,21,142
2020-01-21,SEA,1123,14,5,0,1142,0,0,0,1142
2020-01-22,MWH,0,82,26,11,119,316,6,322,441
2020-01-22,PAE,40,4,51,16,111,19,0,19,130
2020-01-22,SEA,1135,14,3,0,1152,0,0,0,1152
2020-01-23,MWH,0,4,0,0,4,0,0,0,4
2020-01-23,PAE,40,9,18,0,67,0,0,0,67
2020-01-23,SEA,1185,10,3,0,1198,0,0,0,1198
2020-01-24,MWH,12,3,7,1,23,0,0,0,23
2020-01-24,PAE,56,6,74,0,136,39,0,39,175
2020-01-24,SEA,1202,12,2,0,1216,0,0,0,1216
2020-01-25,MWH,1,0,16,2,19,25,0,25,44
2020-01-25,PAE,38,1,82,0,121,4,0,4,125
2020-01-25,SEA,973,5,3,0,981,0,0,0,981
2020-01-26,MWH,0,1,16,0,17,0,0,0,17
2020-01-26,PAE,43,3,85,0,131,67,0,67,198
2020-01-26,SEA,1114,1,3,0,1118,0,0,0,1118
2020-01-27,MWH,12,58,46,3,119,177,2,179,298
2020-01-27,PAE,48,10,152,5,215,248,0,248,463
2020-01-27,SEA,1183,14,4,0,1201,0,0,0,1201
2020-01-28,MWH,2,6,14,8,30,0,2,2,32
2020-01-28,PAE,39,4,58,4,105,73,0,73,178
2020-01-28,SEA,1126,16,1,0,1143,0,0,0,1143
2020-01-29,MWH,2,6,11,1,20,0,0,0,20
2020-01-29,PAE,42,2,65,13,122,16,0,16,138
2020-01-29,SEA,1134,14,4,0,1152,0,0,0,1152
2020-01-30,MWH,2,2,10,0,14,0,0,0,14
2020-01-30,PAE,49,10,160,2,221,173,0,173,394
2020-01-30,SEA,1205,12,4,0,1221,0,0,0,1221
2020-01-31,MWH,0,2,18,2,22,0,0,0,22
2020-01-31,PAE,33,7,15,2,57,0,0,0,57
2020-01-31,SEA,1207,10,1,0,1218,0,0,0,1218
2020-02-01,MWH,3,0,17,0,20,0,0,0,20
2020-02-01,PAE,54,2,30,0,86,17,0,17,103
2020-02-01,SEA,968,10,3,0,981,0,0,0,981
2020-02-02,MWH,4,0,43,0,47,42,0,42,89
2020-02-02,PAE,37,3,156,0,196,130,0,130,326
2020-02-02,SEA,1073,4,1,0,1078,0,0,0,1078
2020-02-03,MWH,6,70,72,27,175,249,19,268,443
2020-02-03,PAE,42,6,145,2,195,186,10,196,391
2020-02-03,SEA,1169,15,4,0,1188,0,0,0,1188
2020-02-04,MWH,1,74,10,3,88,210,2,212,300
2020-02-04,PAE,34,10,26,4,74,72,0,72,146
2020-02-04,SEA,1113,13,6,0,1132,0,0,0,1132
2020-02-05,MWH,5,28,14,6,53,154,4,158,211
2020-02-05,PAE,40,2,12,2,56,0,0,0,56
2020-02-05,SEA,1152,10,3,0,1165,0,0,0,1165
2020-02-06,MWH,7,97,8,7,119,230,0,230,349
2020-02-06,PAE,48,3,17,0,68,0,0,0,68
2020-02-06,SEA,1199,10,1,0,1210,0,0,0,1210
2020-02-07,MWH,8,10,7,3,28,0,0,0,28
2020-02-07,PAE,44,4,27,0,75,1,0,1,76
2020-02-07,SEA,1226,10,6,0,1242,0,0,0,1242
2020-02-08,MWH,1,15,20,3,39,34,0,34,73
2020-02-08,PAE,42,0,135,0,177,143,0,143,320
2020-02-08,SEA,972,9,2,0,983,0,0,0,983
2020-02-09,MWH,0,0,42,28,70,8,0,8,78
2020-02-09,PAE,39,2,256,0,297,244,0,244,541
2020-02-09,SEA,1120,1,2,0,1123,0,0,0,1123
2020-02-10,MWH,24,145,37,28,234,298,8,306,540
2020-02-10,PAE,40,6,215,2,263,356,0,356,619
2020-02-10,SEA,1174,11,4,0,1189,0,0,0,1189
2020-02-11,MWH,9,115,15,48,187,156,58,214,401
2020-02-11,PAE,56,11,76,3,146,79,0,79,225
2020-02-11,SEA,1122,11,5,0,1138,0,0,0,1138
2020-02-12,MWH,7,126,27,26,186,300,26,326,512
2020-02-12,PAE,41,6,123,2,172,186,0,186,358
2020-02-12,SEA,1135,11,4,1,1151,0,0,0,1151
2020-02-13,MWH,4,101,24,6,135,287,10,297,432
2020-02-13,PAE,57,2,53,0,112,30,0,30,142
2020-02-13,SEA,1193,15,3,1,1212,0,0,0,1212
2020-02-14,MWH,8,2,28,0,38,10,2,12,50
2020-02-14,PAE,44,3,151,0,198,115,0,115,313
2020-02-14,SEA,1225,10,1,0,1236,0,0,0,1236
2020-02-15,MWH,0,8,33,0,41,36,0,36,77
2020-02-15,PAE,42,0,37,0,79,20,0,20,99
2020-02-15,SEA,1023,11,1,1,1036,0,0,0,1036
2020-02-16,MWH,0,0,19,0,19,30,0,30,49
2020-02-16,PAE,48,0,113,0,161,120,0,120,281
2020-02-16,SEA,1085,2,4,1,1092,0,0,0,1092
2020-02-17,MWH,1,2,36,0,39,15,0,15,54
2020-02-17,PAE,45,0,151,0,196,193,0,193,389
2020-02-17,SEA,1167,16,3,0,1186,0,0,0,1186
2020-02-18,MWH,3,140,32,21,196,277,14,291,487
2020-02-18,PAE,44,4,235,0,283,168,0,168,451
2020-02-18,SEA,1173,15,4,0,1192,0,0,0,1192
2020-02-19,MWH,2,98,34,42,176,293,20,313,489
2020-02-19,PAE,45,3,299,5,352,204,0,204,556
2020-02-19,SEA,1188,14,3,0,1205,0,0,0,1205
2020-02-20,MWH,1,126,34,18,179,353,36,389,568
2020-02-20,PAE,42,4,247,0,293,256,0,256,549
2020-02-20,SEA,1206,10,4,0,1220,0,0,0,1220
2020-02-21,MWH,17,3,43,5,68,32,6,38,106
2020-02-21,PAE,46,6,241,4,297,180,6,186,483
2020-02-21,SEA,1211,11,1,0,1223,0,0,0,1223
2020-02-22,MWH,6,0,27,0,33,44,0,44,77
2020-02-22,PAE,45,1,87,0,133,181,0,181,314
2020-02-22,SEA,1031,13,1,1,1046,0,0,0,1046
2020-02-23,MWH,0,0,5,2,7,0,0,0,7
2020-02-23,PAE,42,2,34,0,78,6,0,6,84
2020-02-23,SEA,1134,6,3,0,1143,0,0,0,1143
2020-02-24,MWH,9,88,26,7,130,154,2,156,286
2020-02-24,PAE,47,11,138,0,196,209,0,209,405
2020-02-24,SEA,1180,12,1,0,1193,0,0,0,1193
2020-02-25,MWH,9,147,35,33,224,289,26,315,539
2020-02-25,PAE,51,5,178,2,236,248,0,248,484
2020-02-25,SEA,1173,12,5,0,1190,0,0,0,1190
2020-02-26,MWH,0,125,18,23,166,352,48,400,566
2020-02-26,PAE,45,7,132,4,188,196,0,196,384
2020-02-26,SEA,1177,12,3,0,1192,0,0,0,1192
2020-02-27,MWH,10,100,39,8,157,383,20,403,560
2020-02-27,PAE,38,7,244,0,289,192,8,200,489
2020-02-27,SEA,1199,13,7,0,1219,0,0,0,1219
2020-02-28,MWH,1,4,38,13,56,24,11,35,91
2020-02-28,PAE,45,6,46,0,97,7,0,7,104
2020-02-28,SEA,1191,10,0,0,1201,0,0,0,1201
2020-02-29,MWH,1,0,20,0,21,20,0,20,41
2020-02-29,PAE,38,1,117,0,156,178,0,178,334
2020-02-29,SEA,1034,8,3,1,1046,0,0,0,1046
2020-03-01,MWH,0,0,15,0,15,8,0,8,23
2020-03-01,PAE,45,0,173,0,218,190,0,190,408
2020-03-01,SEA,1114,2,6,3,1125,0,0,0,1125
2020-03-02,MWH,3,85,27,26,141,99,36,135,276
2020-03-02,PAE,39,4,13,0,56,0,0,0,56
2020-03-02,SEA,1189,12,2,1,1204,0,0,0,1204
2020-03-03,MWH,3,99,22,41,165,319,34,353,518
2020-03-03,PAE,41,4,52,0,97,2,0,2,99
2020-03-03,SEA,1175,12,6,0,1193,0,0,0,1193
2020-03-04,MWH,3,54,31,41,129,53,29,82,211
2020-03-04,PAE,41,3,264,12,320,414,0,414,734
2020-03-04,SEA,1166,15,4,2,1187,0,0,0,1187
2020-03-05,MWH,0,113,33,10,156,410,18,428,584
2020-03-05,PAE,45,12,135,1,193,77,0,77,270
2020-03-05,SEA,1215,12,1,1,1229,0,0,0,1229
2020-03-06,MWH,2,3,45,15,65,27,22,49,114
2020-03-06,PAE,32,2,89,0,123,157,0,157,280
2020-03-06,SEA,1212,12,1,0,1225,0,0,0,1225
2020-03-07,MWH,2,0,25,0,27,6,0,6,33
2020-03-07,PAE,40,0,81,0,121,87,0,87,208
2020-03-07,SEA,1024,3,0,0,1027,0,0,0,1027
2020-03-08,MWH,4,3,27,6,40,14,0,14,54
2020-03-08,PAE,40,2,161,0,203,198,0,198,401
2020-03-08,SEA,1113,2,1,0,1116,0,0,0,1116
2020-03-09,MWH,0,146,36,6,188,307,0,307,495
2020-03-09,PAE,46,9,213,2,270,274,0,274,544
2020-03-09,SEA,1196,13,3,0,1212,0,0,0,1212
2020-03-10,MWH,0,124,34,21,179,282,14,296,475
2020-03-10,PAE,31,2,153,14,200,171,0,171,371
2020-03-10,SEA,1168,11,6,0,1185,0,0,0,1185
2020-03-11,MWH,6,85,11,14,116,4,8,12,128
2020-03-11,PAE,41,7,132,7,187,144,26,170,357
2020-03-11,SEA,1177,11,2,0,1190,0,0,0,1190
2020-03-12,MWH,12,134,27,21,194,247,26,273,467
2020-03-12,PAE,39,5,141,2,187,161,6,167,354
2020-03-12,SEA,1219,12,2,0,1233,0,0,0,1233
2020-03-13,MWH,2,3,16,3,24,0,8,8,32
2020-03-13,PAE,41,6,10,0,57,0,0,0,57
2020-03-13,SEA,1087,11,2,0,1100,0,0,0,1100
2020-03-14,MWH,0,0,8,0,8,0,0,0,8
2020-03-14,PAE,30,2,113,0,145,125,0,125,270
2020-03-14,SEA,1076,6,5,0,1087,0,0,0,1087
2020-03-15,MWH,1,0,12,0,13,2,0,2,15
2020-03-15,PAE,36,0,211,0,247,159,0,159,406
2020-03-15,SEA,1146,2,5,0,1153,0,0,0,1153
2020-03-16,MWH,4,65,38,22,129,166,46,212,341
2020-03-16,PAE,36,3,185,7,231,313,9,322,553
2020-03-16,SEA,1180,11,4,0,1195,0,0,0,1195
2020-03-17,MWH,6,59,21,0,86,94,0,94,180
2020-03-17,PAE,42,3,147,0,192,354,0,354,546
2020-03-17,SEA,1137,11,1,0,1149,0,0,0,1149
2020-03-18,MWH,2,25,8,0,35,0,0,0,35
2020-03-18,PAE,45,3,185,7,240,213,0,213,453
2020-03-18,SEA,1096,13,3,0,1112,0,0,0,1112
2020-03-19,MWH,4,4,15,0,23,18,0,18,41
2020-03-19,PAE,36,2,180,0,218,329,4,333,551
2020-03-19,SEA,1062,14,3,0,1079,0,0,0,1079
2020-03-20,MWH,12,2,25,0,39,30,0,30,69
2020-03-20,PAE,40,6,177,2,225,144,0,144,369
2020-03-20,SEA,983,10,1,0,994,0,0,0,994
2020-03-21,MWH,39,0,21,0,60,4,0,4,64
2020-03-21,PAE,28,4,216,0,248,130,0,130,378
2020-03-21,SEA,830,7,4,0,841,0,0,0,841
2020-03-22,MWH,10,0,6,0,16,0,0,0,16
2020-03-22,PAE,32,1,142,0,175,106,0,106,281
2020-03-22,SEA,824,2,2,0,828,0,0,0,828
2020-03-23,MWH,12,2,14,20,48,0,0,0,48
2020-03-23,PAE,41,12,29,2,84,48,0,48,132
2020-03-23,SEA,848,11,0,1,860,0,0,0,860
2020-03-24,MWH,32,2,4,16,54,0,0,0,54
2020-03-24,PAE,42,3,48,0,93,31,0,31,124
2020-03-24,SEA,785,12,6,0,803,0,0,0,803
2020-03-25,MWH,31,5,7,4,47,0,0,0,47
2020-03-25,PAE,30,5,39,0,74,30,0,30,104
2020-03-25,SEA,737,14,2,2,755,0,0,0,755
2020-03-26,MWH,0,3,7,2,12,0,0,0,12
2020-03-26,PAE,37,3,37,2,79,52,0,52,131
2020-03-26,SEA,750,14,0,2,766,0,0,0,766
2020-03-27,MWH,0,2,7,13,22,8,10,18,40
2020-03-27,PAE,41,0,17,0,58,4,0,4,62
2020-03-27,SEA,673,8,0,0,681,0,0,0,681
2020-03-28,MWH,0,0,4,0,4,0,0,0,4
2020-03-28,PAE,24,4,7,0,35,0,0,0,35
2020-03-28,SEA,611,5,0,0,616,0,0,0,616
2020-03-29,MWH,0,0,5,0,5,0,0,0,5
2020-03-29,PAE,17,0,35,0,52,0,0,0,52
2020-03-29,SEA,614,2,3,0,619,0,0,0,619
2020-03-30,MWH,0,2,3,2,7,0,0,0,7
2020-03-30,PAE,30,6,9,0,45,0,0,0,45
2020-03-30,SEA,606,10,0,0,616,0,0,0,616
2020-03-31,MWH,0,3,5,2,10,0,0,0,10
2020-03-31,PAE,32,0,36,0,68,50,0,50,118
2020-03-31,SEA,582,11,2,0,595,0,0,0,595
2020-04-01,MWH,0,3,7,18,28,0,0,0,28
2020-04-01,PAE,21,0,46,2,69,13,0,13,82
2020-04-01,SEA,531,10,3,0,544,0,0,0,544
2020-04-02,MWH,14,2,7,7,30,4,2,6,36
2020-04-02,PAE,22,4,37,0,63,39,0,39,102
2020-04-02,SEA,453,11,8,0,472,8,0,8,480
2020-04-03,MWH,0,3,10,13,26,16,48,64,90
2020-04-03,PAE,14,2,23,0,39,8,0,8,47
2020-04-03,SEA,459,8,2,1,470,0,0,0,470
2020-04-04,MWH,0,0,8,0,8,0,0,0,8
2020-04-04,PAE,12,0,147,0,159,72,0,72,231
2020-04-04,SEA,420,4,9,0,433,0,0,0,433
2020-04-05,MWH,0,0,21,0,21,0,0,0,21
2020-04-05,PAE,16,2,86,0,104,60,0,60,164
2020-04-05,SEA,436,0,5,0,441,0,0,0,441
2020-04-06,MWH,0,3,7,14,24,0,0,0,24
2020-04-06,PAE,9,6,101,2,118,32,24,56,174
2020-04-06,SEA,401,10,4,0,415,0,0,0,415
2020-04-07,MWH,0,2,13,18,33,14,32,46,79
